PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,Activity Direction,Activity Qualifier,Qualified AC50,Log of AC50,Data Analysis QC,Log AC50 Std Error
1,11112339,6604245,C[C@@H]1C[C@@H]2[C@@H]3CC[C@@]([C@@]3(C[C@@H]([C@@]2([C@@]4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O,Active,88,increasing,=,1.55E-09,-8.81,Verified,0.145
2,11112336,6604243,C[C@@H]1C[C@@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4([C@@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,Active,87,increasing,=,2.03E-09,-8.693,Verified,0.134
3,855789,6741,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,Active,86,increasing,=,2.49E-09,-8.603,Verified,
4,11112906,6604461,CCC(=O)OCC(=O)[C@]1([C@@H](C[C@H]2[C@@]1(C[C@@H]([C@@]3([C@@H]2CCC4=CC(=O)C=C[C@@]43C)Cl)O)C)C)OC(=O)CC,Active,86,increasing,=,2.29E-09,-8.64,Verified,0.148
5,855803,5754,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,Active,85,increasing,=,3.47E-09,-8.46,Verified,0.191
6,11110856,6603742,C[C@@H]1C[C@@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4([C@@]3([C@H](C[C@]2([C@]1(C(=O)CO)O)C)O)F)C,Active,85,increasing,=,3.40E-09,-8.469,Verified,0.065
7,11112900,11972601,CCC(=O)OCC(=O)[C@]1([C@@H](C[C@H]2[C@@]1(C[C@@H]([C@H]3[C@@H]2[C@H](CC4=CC(=O)C=C[C@@]34C)Cl)O)C)C)OC(=O)CC,Active,84,increasing,=,4.23E-09,-8.374,Verified,0.118
8,855528,169870,CCCCCC(=O)O[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)C(=O)C,Active,83,increasing,=,5.27E-09,-8.278,Verified,0.214
9,855649,5834,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)C=C[C@]34C)O)C)O,Active,81,increasing,=,7.61E-09,-8.119,Verified,0.209
10,855775,9324,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)CC[C@]34C)Cl)C)OC(=O)C,Active,81,increasing,=,8.67E-09,-8.062,Verified,0.271
11,11111268,6603869,C[C@@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@@H](C[C@@]4([C@@H]3CC[C@@]4(C(=O)CO)O)C)O,Active,81,increasing,=,8.79E-09,-8.056,Verified,0.277
12,11112096,6603769,C[C@@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@@H](C[C@@]4([C@@H]3CC[C@H]4C(=O)CO)C)O,Active,81,increasing,=,8.80E-09,-8.056,Verified,0.066
13,855951,92827,CC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C)O,Active,79,increasing,=,1.33E-08,-7.875,Verified,0.258
14,4252559,3246033,C[C@@]12CCC(=O)C=C1CC[C@H]3[C@@H]2[C@H](C[C@@]4([C@@H]3CC[C@]4(C(=O)CO)O)C)O,Active,76,increasing,=,2.28E-08,-7.643,Verified,0.215
15,855652,23680518,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)COC(=O)CCC(=O)[O-])O)CCC4=CC(=O)C=C[C@]34C)O.[Na+],Active,75,increasing,=,2.85E-08,-7.546,Verified,0.216
16,4252667,3246064,C[C@@]12CCC(=O)C=C1CC[C@H]3[C@@H]2[C@H](C[C@@]4([C@@H]3CC[C@]4(C(=O)COC(=O)C5CCCC5)O)C)O,Active,75,increasing,=,3.33E-08,-7.477,Verified,0.159
17,855538,6166,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C,Active,74,increasing,=,3.56E-08,-7.449,Verified,0.194
18,855547,23694214,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)COC(=O)CCC(=O)[O-])O)C)O.[Na+],Active,74,increasing,=,4.42E-08,-7.355,Verified,0.687
19,855521,440707,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,Active,73,increasing,=,4.58E-08,-7.339,Verified,0.123
20,4253394,3246329,C[C@H]1C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@]4([C@@]3([C@@H](C[C@@]2([C@]1(C(=O)COP(=O)(O)O)O)C)O)F)C,Active,73,increasing,=,4.60E-08,-7.338,Verified,0.206
